Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
"Hello, Stranger: The Movie",2021,N/A,12 Feb 2021,101 min,"Comedy, Romance",Dwein Baltazar,"Daniel Saniana, Patrick John Valencia","Tony Labrusca, JC Alcantara, Vivoree Esclito","Xavier and Mico join a writing camp, where they get to know each other more. But with their friends and other people around them twist and turn them in different directions, will they be strangers no more or strangers again?",Filipino,Philippines,2 nominations,https://m.media-amazon.com/images/M/MV5BYmEwMjJhNWItMjJjNS00ODU4LWI5MzUtZTAwNDUwY2E0ZmU0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,549,tt12951932,movie,N/A,N/A,N/A,N/A,True,
Gameboys: The Movie,2021,TV-14,30 Jul 2021,107 min,"Comedy, Drama, Romance",Ivan Andrew Payawal,"Ash Malanum, Jun Lana","Kokoy De Santos, Elijah Canlas, Adrianna So","Gamers turned lovers Cairo and Gavreel spend time together a few weeks before Cairo returns to his province. Their relationship is tested as they have to deal with distance, the pandemic, fate and circumstance.","English, Tagalog, Filipino","Philippines, Japan",9 nominations,https://m.media-amazon.com/images/M/MV5BMDkwYzQwN2UtYjExOS00MzZlLWI0NDgtZGI2NjI5ZDM2YTJkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,453,tt14813878,movie,N/A,N/A,N/A,N/A,True,
Bai Ivan - The Movie,2021,N/A,12 Nov 2021,96 min,Comedy,Nikolai Pavlov,Dimitar Kiriazov,"Dimitar Kiriazov, Silvia Yordanova, Nikolai Garabedian","A comedy continuing the ""Vanka's World"" mini-series. Bai Ivan wins the chance to participate in a TV show and starts his journey to fame. He will go through many adventures in his attempt to win the big prize.",Bulgarian,Bulgaria,N/A,https://m.media-amazon.com/images/M/MV5BMWM2MWY2ZTgtZjQwMS00NTY4LTllNTYtM2ZkMzJhYWY5NWQ4XkEyXkFqcGdeQXVyOTA1MDE3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,416,tt15381956,movie,N/A,N/A,N/A,N/A,True,
Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,2021,N/A,15 May 2021,96 min,"Animation, Action, Drama",Kazuto Arai,"Kinoko Nasu, Ukyô Kodachi, Kazuto Arai","Robbie Daymond, Mamoru Miyano, Nobunaga Shimazaki","Part two of Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Wandering; Agateram; an adaptation of the the Sixth Holy Grail War, The Sacred Round Table Realm Camelot Singularity of Fate/Grand Order.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BYWQyYTliNWQtZmM0NS00MTg2LTg1MzgtOTc1YTNmZTliNDYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,328,tt13997358,movie,N/A,N/A,N/A,N/A,True,
"Caution, Hazardous Wife: The Movie",2021,N/A,19 Mar 2021,119 min,"Action, Adventure, Drama",Tôya Satô,"Kazuki Kaneshiro, Yukiko Manabe","Haruka Ayase, Rei Dan, Fumiyo Kohinata",From a TV serial superspy Nami becomes amnesiac and joins her partner investigating dastardly Russians and corrupt corporations. The climax on a research ship ties the show together wonderfully. Is Nami really amnesiac? Watch it.,"Japanese, Russian, English",Japan,N/A,https://m.media-amazon.com/images/M/MV5BMDI4MTE0NjMtMzhiOS00NWFkLTgzMzAtZTRhMzFjNjYyNWM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,304,tt11477842,movie,N/A,N/A,N/A,N/A,True,
Killer Movie: Director's Cut,2021,N/A,27 Aug 2021,80 min,"Comedy, Horror, Mystery",Jeff Fisher,Jeff Fisher,"Robert Buckley, Nestor Carbonell, Kaley Cuoco","In 2008, a reality television crew was dispatched to a small town in the United States to cover the story of an underdog high school hockey team on their way to the state finals. One by one, members of the cast and crew went missing.","English, American Sign ",United States,N/A,https://m.media-amazon.com/images/M/MV5BNzc0MTgxNDktNjJhMi00ZTRlLWE3YmEtYmFmMTc2NDc3OWY5XkEyXkFqcGdeQXVyODM4MjYxMA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,300,tt14629580,movie,N/A,N/A,N/A,N/A,True,
Pornographer the Movie: Playback,2021,Unrated,26 Feb 2021,107 min,Romance,Kôichirô Miki,Kôichirô Miki,"Kenta Izuka, Terunosuke Takezai, Yoshida Munehiro","Kijima and Kuzumi, showing the problems they face as they try to move forward in their lives, and how they drift apart while still yearning to be together. A story of love and life, and fantasies and failures of a novelist and his...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BODQ2ZjEzNDMtOGExYS00MzRjLWI2NDAtZjA0MjJjZjAwMGMwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,287,tt13213122,movie,N/A,N/A,N/A,N/A,True,
Steve McQueen: The Lost Movie,2021,N/A,01 Jan 2021,87 min,"Documentary, Biography, Sport",Alex Rodger,Alex Rodger,"Steve McQueen, James Garner, John Frankenheimer","A car racing movie that Hollywood legend and avid racing fan Steve McQueen started production on in the mid-1960s as his passion project, but never completed.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMGJkZjNlNjYtYTBmZC00ZjZiLWEwZjQtMDU3MGIxOWEwNjUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,269,tt12381962,movie,N/A,N/A,N/A,N/A,True,
Tersanjung: The Movie,2021,TV-14,01 Apr 2021,114 min,"Drama, Romance","Pandu Adjisurya, Hanung Bramantyo, Nur Jihat Hisyam","Hanung Bramantyo, Pandu Adjisurya","Clara Bernadeth, Giorgino Abraham, Kevin Ardilova","Yura (Clara Bernadeth) faces the complicated love triangle between Oka (Kevin Ardilio) and Christian (Giorgino Abraham). The story of dreams, romance, and emotions raging together.",Indonesian,Indonesia,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZDBhZGRlM2MtODM0Zi00YzZmLTk5YWYtNjBlOWY5NWZkZTQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,251,tt11668994,movie,N/A,N/A,N/A,N/A,True,
Revue Starlight the Movie,2021,N/A,04 Jun 2021,120 min,"Animation, Action, Drama",Tomohiro Furukawa,Tatsuto Higuchi,"Momoyo Koyama, Suzuko Mimori, Haruki Iwata","Starlight - This is a story of a far off star, a long time ago, and in the distant future. Two young girls, captivated by the glamour of the performance, exchange promises: ""We'll become stars."" ""I'll wait for you on stage.""",Japanese,Japan,1 nomination,https://m.media-amazon.com/images/M/MV5BNWQyYjc1MmYtNThkNC00ODMyLTllZWQtMmMwODRkYmE3MzU5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,214,tt13593042,movie,N/A,N/A,N/A,N/A,True,
The Pedal Movie,2021,N/A,30 Apr 2021,142 min,Documentary,"Michael Lux, Daniel Orkin","Michael Lux, Daniel Orkin","Oliver Ackermann, Steve Albini, Juan Alderete","A Documentary about the history, culture, and sound of guitar effects pedals, told by the builders who build them and the artists who use them.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDgwMWRmN2QtMzA1My00NGU4LTg5YWEtNTllZWVmMjg1ODE1XkEyXkFqcGdeQXVyNDg3NzA2OTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,190,tt11811310,movie,N/A,N/A,N/A,N/A,True,
L.O.L. Surprise: The Movie,2021,TV-Y,08 Oct 2021,47 min,"Animation, Action, Drama","Alex Kamb, Joan Mok, Lauren Ciaravalli",Julia Mayfield Prescott,"Ashley Angione, Sarah J. Bartholomew, Jessica Ruth Bell","Queen Bee is making a movie with her big sister, Royal Bee. But the big premiere is happening tonight. Will the crew finish their movie in time? Find out in this one-of-a-kind fantasy, action, spooky, and sci-fi western adventure.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjg1ZGMwMjgtNzkwYi00ZWRhLTljZjktMWFkNjk2NWJkODA1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,176,tt15576986,movie,N/A,N/A,N/A,N/A,True,
Signal: The Movie,2021,N/A,02 Apr 2021,122 min,Action,Hajime Hashimoto,Kôsuke Nishi,"Kentarô Sakaguchi, Kazuki Kitamura, Michiko Kichise","Story continues from the Japanese Signal drama series. In 2021, a limousine taxi driver causes an accident on a highway and a high-level government official dies in the accident...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BN2M0MGU2NGQtMjllNy00MjgwLWJhZTMtOTM0NTRjODY5MTRmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,174,tt13529316,movie,N/A,N/A,N/A,N/A,True,
99.9 Criminal Lawyer: The Movie,2021,N/A,30 Dec 2021,120 min,"Comedy, Crime, Drama",N/A,N/A,"Jun Matsumoto, Teruyuki Kagawa, Hana Sugisaki","Hiroto Miyama works with rookie lawyer Honoka Kono on a team that specializes with criminal cases for Madarame Law Firm. Atsuhiro Sada has become the director of the law firm. One day, the law firm receives a request about a case ...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZjVkZThhOGQtZTY3My00ZTZmLThlNTgtY2VlNDQyYzE1YTg2XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,164,tt15434284,movie,N/A,N/A,N/A,N/A,True,
Discord: The Movie,2021,N/A,23 Jul 2021,6 min,"Short, Adventure, Sci-Fi",Finn Keenan,"Alexander Rose, Noé Sato","Danny DeVito, Awkwafina, Jimmy Donaldson","Discord: The Movie is a movie about Discord and what Discord means to us, to you, and to people everywhere. Whether you're here to hang, chat, talk, study, or love eggs, all you have to do is imagine a place on Discord.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTkwY2NkNTQtY2YxZS00NjQ0LWJhZDEtMjUzYjUyY2NiNjJjXkEyXkFqcGdeQXVyMzkxMjk1MzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,130,tt15101430,movie,N/A,N/A,N/A,N/A,True,
He's Into Her: The Movie Cut,2021,N/A,22 Nov 2021,199 min,"Comedy, Romance",Chad Vidanes,"Maxine Lat Calibuso, Charisse Bayona, Dip B. Mariposque","Belle Mariano, Donny Pangilinan, Rhys Miguel Eugenio","A spunky teenage girl from Mindoro, moves to Manila to live with her estranged father and study in a prestigious school. She clashes with basketball varsity captain, unaware that their one-upmanship will blossom into something bea...","Tagalog, Filipino",Philippines,N/A,https://m.media-amazon.com/images/M/MV5BMzMzODc0ZTUtMjQ1MC00MDAyLTljNTEtMjZhMDVmOWIwNzRhXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,113,tt16175706,movie,N/A,N/A,N/A,N/A,True,
No Strings the Movie,2021,N/A,12 Feb 2021,81 min,Romance,Rebecca Ugo,Rebecca Ugo,"Racheal Ihim, Daniel Lopez, Malik Julien","A young girl is saved from child trafficking but loses her mother in the process. She carries resentment and hate for the world, so she takes her anger into relationships. To avenge her mom's death, she goes on dates with guys spe...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWEzMjczMjMtZDMzNy00MzkzLTlkYjAtZmQxZTY4NzEyNTkwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,95,tt11773084,movie,N/A,N/A,N/A,N/A,True,
Sam & Mattie Make a Zombie Movie,2021,N/A,06 Apr 2021,1 min,Documentary,"Jesse Suchmann, Robert Carnevale",N/A,"Sam Suchmann, Mattie Zufelt, Peter Farrelly","Sam and Mattie, two badass best friends with Down syndrome, rally the entire town of Providence RI to help them storyboard, script, produce, cast, and star in their own dream movie: 'Spring Break Zombie Massacre.'",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOTY0OWMzYjAtNGRlMC00ZWI3LWIxY2MtYmE2YTAyYjM4ODcwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,91,tt10613030,movie,N/A,N/A,N/A,N/A,True,
Adit Sopo Jarwo: The Movie,2021,TV-PG,30 Apr 2021,82 min,"Animation, Comedy, Drama","Hanung Bramantyo, Eki N.F.","Anto Malaya, Beni Susanto","Muzakki Ramdhan, Musripah, Hanung Bramantyo","On the way to Jogjakarta, Adit was separated from his parents. His journey taught Adit the true meaning of friendship.",Indonesian,Indonesia,1 nomination,https://m.media-amazon.com/images/M/MV5BMjBkODE5Y2EtODgzOS00ZmU1LTg1YWItNDVjMzdkZDZkNWJkXkEyXkFqcGdeQXVyMTI4MjIyNTM1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,91,tt13465228,movie,N/A,N/A,N/A,N/A,True,
Backwoods Bubba (Full movie),2021,N/A,N/A,N/A,Horror,James B. Thomasson,"Rebecca Rinehart, James B. Thomasson","Julie Anne Prescott, Angel Nichole Bradford, Heather Harlow",Bubba Wayne Bundy along with the help of his brother John Edward Bundy are two madman who gets off on kidnapping woman and dressing them up.,N/A,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmNhMDI4NzItNzdlNi00NzIyLThjZmQtZDdjZDFhMTBkMjA2XkEyXkFqcGdeQXVyOTgzNTAzNDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,80,tt11609250,movie,N/A,N/A,N/A,N/A,True,
Lupin's Daughter: The Movie,2021,N/A,15 Oct 2021,110 min,"Action, Comedy, Crime",Hideki Takeuchi,"Yûichi Tokunaga, Dai Yokozeki","Hiroshi Fujioka, Kyôko Fukada, Tatsuya Gashûin","The Mikumo family attempts their biggest heist to date For that heist, the family travels abroad.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BN2MzNmRkZjMtYTI3MS00ZWJlLWIzZjgtMzg4NmRiNzM2ZWFkXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,79,tt15033850,movie,N/A,N/A,N/A,N/A,True,
Fries! The Movie,2021,N/A,N/A,83 min,Documentary,"Michael Steed, Gillian Brown",N/A,"Chrissy Teigen, Ana Cornier, Lucas Kwan Peterson",The universal love for fried potatoes.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWI0NDA5ZTktMGQ3MS00YzM2LWI3NjctNmE3OTkwZGM4Zjg5XkEyXkFqcGdeQXVyOTUzNjEwMjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,71,tt9435970,movie,N/A,N/A,N/A,N/A,True,
2021 MTV Movie & TV Awards,2021,N/A,16 May 2021,N/A,N/A,Ryan Polito,"Steven Murphy, Agathe Panaretos, Nefetari Spencer","Kathryn Hahn, Madelyn Cline, Sacha Baron Cohen",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGU5NmU0ZTMtMGQzMi00NDgzLTkyY2ItNzFmNmY3NWIwMmVhXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,70,tt14489294,movie,N/A,N/A,N/A,N/A,True,
